comune,anno,genere,popolazione
Campitello di Fassa  ,2023,Totale  ,710
Campitello di Fassa  ,2024,Maschi  ,343
Campitello di Fassa  ,2024,Femmine  ,357
Campitello di Fassa  ,2024,Totale  ,700
Campodenno  ,2022,Maschi  ,779
Campodenno  ,2022,Femmine  ,733
Campodenno  ,2022,Totale  ,1512
Campodenno  ,2023,Maschi  ,785
Campodenno  ,2023,Femmine  ,718
Campodenno  ,2023,Totale  ,1503
Campodenno  ,2024,Maschi  ,787
Campodenno  ,2024,Femmine  ,722
Campodenno  ,2024,Totale  ,1509
Canal San Bovo  ,2022,Maschi  ,710
Canal San Bovo  ,2022,Femmine  ,762
Canal San Bovo  ,2022,Totale  ,1472
Canal San Bovo  ,2023,Maschi  ,713
Canal San Bovo  ,2023,Femmine  ,764
Canal San Bovo  ,2023,Totale  ,1477
Canal San Bovo  ,2024,Maschi  ,709
Canal San Bovo  ,2024,Femmine  ,753
Canal San Bovo  ,2024,Totale  ,1462
Canazei  ,2022,Maschi  ,895
Canazei  ,2022,Femmine  ,983
Canazei  ,2022,Totale  ,1878
Canazei  ,2023,Maschi  ,868
Canazei  ,2023,Femmine  ,958
Canazei  ,2023,Totale  ,1826
Canazei  ,2024,Maschi  ,875
Canazei  ,2024,Femmine  ,957
Canazei  ,2024,Totale  ,1832
Capriana  ,2022,Maschi  ,301
Capriana  ,2022,Femmine  ,287
Capriana  ,2022,Totale  ,588
Capriana  ,2023,Maschi  ,301
Capriana  ,2023,Femmine  ,284
Capriana  ,2023,Totale  ,585
Capriana  ,2024,Maschi  ,303
Capriana  ,2024,Femmine  ,292
Capriana  ,2024,Totale  ,595
Carisolo  ,2022,Maschi  ,466
Carisolo  ,2022,Femmine  ,482
Carisolo  ,2022,Totale  ,948
Carisolo  ,2023,Maschi  ,460
Carisolo  ,2023,Femmine  ,480
Carisolo  ,2023,Totale  ,940
Carisolo  ,2024,Maschi  ,445
Carisolo  ,2024,Femmine  ,476
Carisolo  ,2024,Totale  ,921
Carzano  ,2022,Maschi  ,259
Carzano  ,2022,Femmine  ,259
Carzano  ,2022,Totale  ,518
Carzano  ,2023,Maschi  ,256
Carzano  ,2023,Femmine  ,254
Carzano  ,2023,Totale  ,510
Carzano  ,2024,Maschi  ,256
Carzano  ,2024,Femmine  ,254
Carzano  ,2024,Totale  ,510
Castel Condino  ,2022,Maschi  ,111
Castel Condino  ,2022,Femmine  ,113
Castel Condino  ,2022,Totale  ,224
Castel Condino  ,2023,Maschi  ,112
Castel Condino  ,2023,Femmine  ,111
Castel Condino  ,2023,Totale  ,223
Castel Condino  ,2024,Maschi  ,113
Castel Condino  ,2024,Femmine  ,112
Castel Condino  ,2024,Totale  ,225
Castel Ivano  ,2022,Maschi  ,1620
Castel Ivano  ,2022,Femmine  ,1640
Castel Ivano  ,2022,Totale  ,3260
Castel Ivano  ,2023,Maschi  ,1620
Castel Ivano  ,2023,Femmine  ,1649
Castel Ivano  ,2023,Totale  ,3269
Castel Ivano  ,2024,Maschi  ,1631
Castel Ivano  ,2024,Femmine  ,1637
Castel Ivano  ,2024,Totale  ,3268
Castello Tesino  ,2022,Maschi  ,588
Castello Tesino  ,2022,Femmine  ,567
Castello Tesino  ,2022,Totale  ,1155
Castello Tesino  ,2023,Maschi  ,594
Castello Tesino  ,2023,Femmine  ,564
Castello Tesino  ,2023,Totale  ,1158
Castello Tesino  ,2024,Maschi  ,595
Castello Tesino  ,2024,Femmine  ,563
Castello Tesino  ,2024,Totale  ,1158
Castello-Molina di Fiemme  ,2022,Maschi  ,1164
Castello-Molina di Fiemme  ,2022,Femmine  ,1155
Castello-Molina di Fiemme  ,2022,Totale  ,2319
Castello-Molina di Fiemme  ,2023,Maschi  ,1184
Castello-Molina di Fiemme  ,2023,Femmine  ,1168
Castello-Molina di Fiemme  ,2023,Totale  ,2352
Castello-Molina di Fiemme  ,2024,Maschi  ,1174
Castello-Molina di Fiemme  ,2024,Femmine  ,1145
Castello-Molina di Fiemme  ,2024,Totale  ,2319
Castelnuovo  ,2022,Maschi  ,528
Castelnuovo  ,2022,Femmine  ,550
Castelnuovo  ,2022,Totale  ,1078
Castelnuovo  ,2023,Maschi  ,539
Castelnuovo  ,2023,Femmine  ,552
Castelnuovo  ,2023,Totale  ,1091
Castelnuovo  ,2024,Maschi  ,534
Castelnuovo  ,2024,Femmine  ,552
Castelnuovo  ,2024,Totale  ,1086
Cavalese  ,2022,Maschi  ,1948
Cavalese  ,2022,Femmine  ,2091
Cavalese  ,2022,Totale  ,4039
Cavalese  ,2023,Maschi  ,1948
Cavalese  ,2023,Femmine  ,2080
Cavalese  ,2023,Totale  ,4028
Cavalese  ,2024,Maschi  ,1935
Cavalese  ,2024,Femmine  ,2052
Cavalese  ,2024,Totale  ,3987
Cavareno  ,2022,Maschi  ,597
Cavareno  ,2022,Femmine  ,541
Cavareno  ,2022,Totale  ,1138
Cavareno  ,2023,Maschi  ,587
Cavareno  ,2023,Femmine  ,537
Cavareno  ,2023,Totale  ,1124
Cavareno  ,2024,Maschi  ,577
Cavareno  ,2024,Femmine  ,546
Cavareno  ,2024,Totale  ,1123
Cavedago  ,2022,Maschi  ,298
Cavedago  ,2022,Femmine  ,265
Cavedago  ,2022,Totale  ,563
Cavedago  ,2023,Maschi  ,301
Cavedago  ,2023,Femmine  ,266
Cavedago  ,2023,Totale  ,567
Cavedago  ,2024,Maschi  ,303
Cavedago  ,2024,Femmine  ,273
Cavedago  ,2024,Totale  ,576
Cavedine  ,2022,Maschi  ,1536
Cavedine  ,2022,Femmine  ,1489
Cavedine  ,2022,Totale  ,3025
Cavedine  ,2023,Maschi  ,1552
Cavedine  ,2023,Femmine  ,1532
Cavedine  ,2023,Totale  ,3084
Cavedine  ,2024,Maschi  ,1540
Cavedine  ,2024,Femmine  ,1533
Cavedine  ,2024,Totale  ,3073
Cavizzana  ,2022,Maschi  ,119
Cavizzana  ,2022,Femmine  ,128
Cavizzana  ,2022,Totale  ,247
Cavizzana  ,2023,Maschi  ,112
Cavizzana  ,2023,Femmine  ,124
Cavizzana  ,2023,Totale  ,236
Cavizzana  ,2024,Maschi  ,111
Cavizzana  ,2024,Femmine  ,123
Cavizzana  ,2024,Totale  ,234
Cembra Lisignago  ,2022,Maschi  ,1181
Cembra Lisignago  ,2022,Femmine  ,1115
Cembra Lisignago  ,2022,Totale  ,2296
Cembra Lisignago  ,2023,Maschi  ,1180
Cembra Lisignago  ,2023,Femmine  ,1132
Cembra Lisignago  ,2023,Totale  ,2312
Cembra Lisignago  ,2024,Maschi  ,1202
Cembra Lisignago  ,2024,Femmine  ,1144
Cembra Lisignago  ,2024,Totale  ,2346
Cimone  ,2022,Maschi  ,376
Cimone  ,2022,Femmine  ,346
Cimone  ,2022,Totale  ,722
Cimone  ,2023,Maschi  ,374
Cimone  ,2023,Femmine  ,349
Cimone  ,2023,Totale  ,723
Cimone  ,2024,Maschi  ,374
Cimone  ,2024,Femmine  ,355
Cimone  ,2024,Totale  ,729
Cinte Tesino  ,2022,Maschi  ,173
Cinte Tesino  ,2022,Femmine  ,165
Cinte Tesino  ,2022,Totale  ,338
Cinte Tesino  ,2023,Maschi  ,179
Cinte Tesino  ,2023,Femmine  ,188
Cinte Tesino  ,2023,Totale  ,367
Cinte Tesino  ,2024,Maschi  ,175
Cinte Tesino  ,2024,Femmine  ,182
Cinte Tesino  ,2024,Totale  ,357
Cis  ,2022,Maschi  ,145
Cis  ,2022,Femmine  ,159
Cis  ,2022,Totale  ,304
Cis  ,2023,Maschi  ,145
Cis  ,2023,Femmine  ,155
Cis  ,2023,Totale  ,300
Cis  ,2024,Maschi  ,140
Cis  ,2024,Femmine  ,152
Cis  ,2024,Totale  ,292
Civezzano  ,2022,Maschi  ,2055
Civezzano  ,2022,Femmine  ,2037
Civezzano  ,2022,Totale  ,4092
Civezzano  ,2023,Maschi  ,2072
Civezzano  ,2023,Femmine  ,2054
Civezzano  ,2023,Totale  ,4126
Civezzano  ,2024,Maschi  ,2122
Civezzano  ,2024,Femmine  ,2089
Civezzano  ,2024,Totale  ,4211
Cles  ,2022,Maschi  ,3432
Cles  ,2022,Femmine  ,3721
Cles  ,2022,Totale  ,7153
Cles  ,2023,Maschi  ,3466
Cles  ,2023,Femmine  ,3751
Cles  ,2023,Totale  ,7217
Cles  ,2024,Maschi  ,3538
Cles  ,2024,Femmine  ,3771
Cles  ,2024,Totale  ,7309
Comano Terme  ,2022,Maschi  ,1440
Comano Terme  ,2022,Femmine  ,1473
Comano Terme  ,2022,Totale  ,2913
Comano Terme  ,2023,Maschi  ,1458
Comano Terme  ,2023,Femmine  ,1479
Comano Terme  ,2023,Totale  ,2937
Comano Terme  ,2024,Maschi  ,1463
Comano Terme  ,2024,Femmine  ,1485
Comano Terme  ,2024,Totale  ,2948
Commezzadura  ,2022,Maschi  ,501
Commezzadura  ,2022,Femmine  ,507
Commezzadura  ,2022,Totale  ,1008
Commezzadura  ,2023,Maschi  ,503
Commezzadura  ,2023,Femmine  ,507
Commezzadura  ,2023,Totale  ,1010
Commezzadura  ,2024,Maschi  ,502
Commezzadura  ,2024,Femmine  ,512
Commezzadura  ,2024,Totale  ,1014
Contà  ,2022,Maschi  ,691
Contà  ,2022,Femmine  ,710
Contà  ,2022,Totale  ,1401
Contà  ,2023,Maschi  ,685
Contà  ,2023,Femmine  ,720
Contà  ,2023,Totale  ,1405
Contà  ,2024,Maschi  ,692
Contà  ,2024,Femmine  ,717
Contà  ,2024,Totale  ,1409
Croviana  ,2022,Maschi  ,349
Croviana  ,2022,Femmine  ,342
Croviana  ,2022,Totale  ,691
Croviana  ,2023,Maschi  ,352
Croviana  ,2023,Femmine  ,345
Croviana  ,2023,Totale  ,697
Croviana  ,2024,Maschi  ,347
Croviana  ,2024,Femmine  ,341
Croviana  ,2024,Totale  ,688
Dambel  ,2022,Maschi  ,213
Dambel  ,2022,Femmine  ,203
Dambel  ,2022,Totale  ,416
Dambel  ,2023,Maschi  ,215
Dambel  ,2023,Femmine  ,198
Dambel  ,2023,Totale  ,413
Dambel  ,2024,Maschi  ,214
Dambel  ,2024,Femmine  ,191
Dambel  ,2024,Totale  ,405
Denno  ,2022,Maschi  ,621
Denno  ,2022,Femmine  ,591
Denno  ,2022,Totale  ,1212
Denno  ,2023,Maschi  ,629
Denno  ,2023,Femmine  ,613
Denno  ,2023,Totale  ,1242
Denno  ,2024,Maschi  ,631
Denno  ,2024,Femmine  ,624
Denno  ,2024,Totale  ,1255
Dimaro Folgarida  ,2022,Maschi  ,1003
Dimaro Folgarida  ,2022,Femmine  ,1078
Dimaro Folgarida  ,2022,Totale  ,2081
Dimaro Folgarida  ,2023,Maschi  ,1009
Dimaro Folgarida  ,2023,Femmine  ,1080
