,comune,anno,valore,lat,lon
269,SAN MICHELE ALL'ADIGE,2023,0.04196494692668477,NaN,NaN
270,SANT'ORSOLA TERME,2022,0.21338155515370705,NaN,NaN
271,SANT'ORSOLA TERME,2023,0.21076233183856502,NaN,NaN
272,SANZENO,2022,0.08378672470076169,NaN,NaN
273,SANZENO,2023,0.08333333333333333,NaN,NaN
274,SARNONICO,2022,1.070440251572327,NaN,NaN
275,SARNONICO,2023,1.0812182741116751,NaN,NaN
276,SCURELLE,2022,0.15742128935532235,NaN,NaN
277,SCURELLE,2023,0.20014936519790888,NaN,NaN
278,SEGONZANO,2022,0.20028818443804033,NaN,NaN
279,SEGONZANO,2023,0.20598977355734113,NaN,NaN
280,SELLA GIUDICARIE,2022,0.26798063623789764,NaN,NaN
281,SELLA GIUDICARIE,2023,0.32300275482093666,NaN,NaN
282,SFRUZ,2022,0.4702702702702703,NaN,NaN
283,SFRUZ,2023,0.4794520547945205,NaN,NaN
284,SORAGA DI FASSA-SORAGA,2022,0.0,NaN,NaN
285,SORAGA DI FASSA-SORAGA,2023,0.0,NaN,NaN
286,SOVER,2022,0.17205692108667528,NaN,NaN
287,SOVER,2023,0.16709844559585493,NaN,NaN
288,SPIAZZO,2022,0.4028892455858748,NaN,NaN
289,SPIAZZO,2023,0.4,NaN,NaN
290,SPORMAGGIORE,2022,0.1763779527559055,46.2177519,11.0482682
291,SPORMAGGIORE,2023,0.16904761904761906,46.2177519,11.0482682
292,SPORMINORE,2022,0.09659090909090909,NaN,NaN
293,SPORMINORE,2023,0.0700280112044818,NaN,NaN
294,STENICO,2022,0.7754749568221071,NaN,NaN
295,STENICO,2023,0.7605512489233419,NaN,NaN
296,STORO,2022,0.03360601370771612,NaN,NaN
297,STORO,2023,0.034658964674516776,NaN,NaN
298,STREMBO,2022,0.22795341098169716,NaN,NaN
299,STREMBO,2023,0.24664429530201343,NaN,NaN
300,TELVE,2022,0.24019088016967127,NaN,NaN
301,TELVE,2023,0.2028301886792453,NaN,NaN
302,TELVE DI SOPRA,2022,0.04180602006688963,NaN,NaN
303,TELVE DI SOPRA,2023,0.04091653027823241,NaN,NaN
304,TENNA,2022,0.29389312977099236,NaN,NaN
305,TENNA,2023,0.2862523540489642,NaN,NaN
306,TENNO,2022,0.6244959677419355,NaN,NaN
307,TENNO,2023,0.6268061783756851,NaN,NaN
308,TERRAGNOLO,2022,0.011347517730496455,NaN,NaN
