anno,comune,alberghieri strutture,alberghieri posti_letto,extra alb. Strutture,extra alb. Posti_letto,tot convenzionali strutture,tot convenzionali posti_letto,all. privati numero,all. privati posti_letto,all.disposizione numero,all. disposizione posti_letto,COMPLESSIVO numero,COMPLESSIVO posti_letto
2020,Carzano,0,0,3,22,3,22,1,4,7,44,11,70
2020,Castel Condino,0,0,2,48,2,48,52,288,49,216,103,552
2020,Castel Ivano,2,89,10,114,12,203,70,266,132,471,214,940
2020,Castello Tesino,6,186,10,563,16,749,168,708,411,2036,595,3493
2020,Castello0Molina di Fiemme,6,422,12,151,18,573,176,844,338,1654,532,3071
2020,Castelnuovo,0,0,4,60,4,60,0,0,13,72,17,132
2020,Cavalese,25,1677,17,527,42,2204,390,1849,939,4533,1371,8586
2020,Cavareno,5,249,3,120,8,369,122,488,337,1326,467,2183
2020,Cavedago,5,279,3,63,8,342,68,299,95,180,171,821
2020,Cavedine,0,0,10,151,10,151,0,0,150,600,160,751
2020,Cavizzana,0,0,1,7,1,7,0,0,18,60,19,67
2020,Cembra Lisignago,3,119,3,33,6,152,19,58,63,265,88,475
2020,Cimone,0,0,0,0,0,0,0,0,70,254,70,254
2020,Cinte Tesino,0,0,3,70,3,70,79,483,124,696,206,1249
2020,Cis,0,0,2,20,2,20,6,16,15,50,23,86
2020,Civezzano,0,0,2,11,2,11,2,9,81,368,85,388
2020,Cles,2,87,9,132,11,219,31,118,74,281,116,618
2020,Comano Terme,10,731,23,421,33,1152,206,809,185,760,424,2721
2020,Commezzadura,12,721,10,200,22,921,76,421,256,1011,354,2353
2020,Contà,1,20,4,89,5,109,15,60,74,348,94,517
2020,Croviana,0,0,4,103,4,103,56,310,30,180,90,593
2020,Dambel,0,0,0,0,0,0,1,4,16,63,17,67
2020,Denno,1,42,2,60,3,102,1,1,28,91,32,194
2020,Dimaro Folgarida,41,3708,20,371,61,4079,813,4001,714,3315,1588,11395
2020,Drena,1,37,5,182,6,219,8,36,27,116,41,371
