,comune,anno,valore,valore_letti,lat,lon
182,CASTEL CONDINO,2021,0.9454545454545454,0.8571428571428571,NaN,NaN
183,CASTEL CONDINO,2022,0.7692307692307693,0.4090909090909091,NaN,NaN
184,CASTEL CONDINO,2023,0.9090909090909091,0.8490566037735849,NaN,NaN
185,CASTEL IVANO,2019,0.8641975308641975,0.5720430107526882,NaN,NaN
186,CASTEL IVANO,2020,0.8536585365853658,0.5671641791044776,NaN,NaN
187,CASTEL IVANO,2021,0.8641975308641975,0.5807860262008734,NaN,NaN
188,CASTEL IVANO,2022,0.4782608695652174,0.1975806451612903,NaN,NaN
189,CASTEL IVANO,2023,0.5555555555555556,0.2549800796812749,NaN,NaN
190,CASTELFONDO,2019,0.9,0.7086614173228346,NaN,NaN
191,CASTELFONDO,2020,0.0,0.0,NaN,NaN
192,CASTELFONDO,2021,0.0,0.0,NaN,NaN
193,CASTELFONDO,2022,0.0,0.0,NaN,NaN
194,CASTELFONDO,2023,0.0,0.0,NaN,NaN
195,CASTELLO TESINO,2019,0.9032258064516129,0.44952380952380955,NaN,NaN
196,CASTELLO TESINO,2020,0.9130434782608695,0.48592999313658203,NaN,NaN
197,CASTELLO TESINO,2021,0.9180327868852459,0.4889502762430939,NaN,NaN
198,CASTELLO TESINO,2022,0.8148148148148148,0.3154486586493987,NaN,NaN
199,CASTELLO TESINO,2023,0.8117647058823529,0.2996575342465753,NaN,NaN
200,CASTELLO-MOLINA DI FIEMME,2019,0.9119170984455959,0.6156090444930707,NaN,NaN
201,CASTELLO-MOLINA DI FIEMME,2020,0.9072164948453608,0.5956245589273113,NaN,NaN
202,CASTELLO-MOLINA DI FIEMME,2021,0.9119170984455959,0.5973106864826611,NaN,NaN
203,CASTELLO-MOLINA DI FIEMME,2022,0.8117647058823529,0.3689538807649044,NaN,NaN
204,CASTELLO-MOLINA DI FIEMME,2023,0.8105263157894737,0.3919491525423729,NaN,NaN
205,CASTELNUOVO,2019,0.0,0.0,NaN,NaN
206,CASTELNUOVO,2020,0.0,0.0,NaN,NaN
207,CASTELNUOVO,2021,0.0,0.0,NaN,NaN
208,CASTELNUOVO,2022,0.0,0.0,NaN,NaN
209,CASTELNUOVO,2023,0.0,0.0,NaN,NaN
210,CAVALESE,2019,0.9006928406466512,0.8910843373493976,NaN,NaN
211,CAVALESE,2020,0.9027777777777778,0.4562052800394769,NaN,NaN
212,CAVALESE,2021,0.8986175115207373,0.4588089330024814,NaN,NaN
213,CAVALESE,2022,0.8770491803278688,0.9860759493670886,NaN,NaN
214,CAVALESE,2023,0.8772378516624041,0.411706837186424,NaN,NaN
215,CAVARENO,2019,0.9384615384615385,0.5507900677200903,NaN,NaN
216,CAVARENO,2020,0.9384615384615385,0.5694282380396732,NaN,NaN
217,CAVARENO,2021,0.9384615384615385,0.5558086560364465,NaN,NaN
218,CAVARENO,2022,0.7674418604651163,0.26118067978533094,NaN,NaN
219,CAVARENO,2023,0.8070175438596491,0.3265625,NaN,NaN
220,CAVEDAGO,2019,0.8947368421052632,0.4664586583463339,46.1846982,11.0314163
221,CAVEDAGO,2020,0.8947368421052632,0.4664586583463339,46.1846982,11.0314163
222,CAVEDAGO,2021,0.8947368421052632,0.49750415973377704,46.1846982,11.0314163
223,CAVEDAGO,2022,0.8392857142857143,0.3933463796477495,46.1846982,11.0314163
224,CAVEDAGO,2023,0.8245614035087719,0.3852140077821012,46.1846982,11.0314163
225,CAVEDINE,2019,0.0,0.0,NaN,NaN
226,CAVEDINE,2020,0.0,0.0,NaN,NaN
227,CAVEDINE,2021,0.0,0.0,NaN,NaN
228,CAVEDINE,2022,0.6111111111111112,0.25,NaN,NaN
229,CAVEDINE,2023,0.631578947368421,0.2,NaN,NaN
230,CAVIZZANA,2019,0.0,0.0,NaN,NaN
231,CAVIZZANA,2020,0.0,0.0,NaN,NaN
232,CAVIZZANA,2021,0.0,0.0,NaN,NaN
233,CAVIZZANA,2022,0.6666666666666666,0.65,NaN,NaN
234,CAVIZZANA,2023,0.6666666666666666,0.65,NaN,NaN
235,CEMBRA LISIGNAGO,2019,0.76,0.2761904761904762,NaN,NaN
236,CEMBRA LISIGNAGO,2020,0.76,0.2761904761904762,NaN,NaN
237,CEMBRA LISIGNAGO,2021,0.76,0.2761904761904762,NaN,NaN
238,CEMBRA LISIGNAGO,2022,0.5714285714285714,0.17391304347826086,NaN,NaN
239,CEMBRA LISIGNAGO,2023,0.4166666666666667,0.10752688172043011,NaN,NaN
240,CIMONE,2019,0.0,0.0,NaN,NaN
241,CIMONE,2020,0.0,0.0,NaN,NaN
242,CIMONE,2021,0.0,0.0,NaN,NaN
243,CIMONE,2022,1.0,1.0,NaN,NaN
244,CIMONE,2023,1.0,1.0,NaN,NaN
245,CINTE TESINO,2019,0.9518072289156626,0.8655913978494624,NaN,NaN
246,CINTE TESINO,2020,0.9634146341463414,0.8734177215189873,NaN,NaN
247,CINTE TESINO,2021,0.9634146341463414,0.8734177215189873,NaN,NaN
248,CINTE TESINO,2022,0.8,0.40816326530612246,NaN,NaN
249,CINTE TESINO,2023,0.8,0.4423076923076923,NaN,NaN
250,CIS,2019,0.75,0.4444444444444444,NaN,NaN
251,CIS,2020,0.75,0.4444444444444444,NaN,NaN
252,CIS,2021,0.8571428571428571,0.6153846153846154,NaN,NaN
253,CIS,2022,0.3333333333333333,0.5918367346938775,NaN,NaN
254,CIS,2023,0.3333333333333333,0.5918367346938775,NaN,NaN
255,CIVEZZANO,2019,0.2857142857142857,0.15,NaN,NaN
256,CIVEZZANO,2020,0.5,0.45,NaN,NaN
257,CIVEZZANO,2021,0.6666666666666666,0.5,NaN,NaN
258,CIVEZZANO,2022,0.6666666666666666,0.5333333333333333,NaN,NaN
259,CIVEZZANO,2023,0.7777777777777778,0.6956521739130435,NaN,NaN
260,CLES,2019,0.6888888888888889,0.2616407982261641,NaN,NaN
261,CLES,2020,0.7380952380952381,0.35014836795252224,NaN,NaN
262,CLES,2021,0.7045454545454546,0.2935323383084577,NaN,NaN
263,CLES,2022,0.6388888888888888,0.22311827956989247,NaN,NaN
264,CLES,2023,0.6888888888888889,0.28191489361702127,NaN,NaN
265,CLOZ,2019,0.8695652173913043,0.6967213114754098,NaN,NaN
266,CLOZ,2020,0.0,0.0,NaN,NaN
267,CLOZ,2021,0.0,0.0,NaN,NaN
268,CLOZ,2022,0.0,0.0,NaN,NaN
269,CLOZ,2023,0.0,0.0,NaN,NaN
270,COMANO TERME,2019,0.8442622950819673,0.37059092991296383,NaN,NaN
271,COMANO TERME,2020,0.8619246861924686,0.4125446200917899,NaN,NaN
272,COMANO TERME,2021,0.865546218487395,0.4157245632065776,NaN,NaN
273,COMANO TERME,2022,0.8290155440414507,0.3390010626992561,NaN,NaN
274,COMANO TERME,2023,0.8434343434343434,0.3656387665198238,NaN,NaN
275,COMMEZZADURA,2019,0.7835051546391752,0.32334869431643626,NaN,NaN
276,COMMEZZADURA,2020,0.7755102040816326,0.3137108792846498,NaN,NaN
277,COMMEZZADURA,2021,0.7755102040816326,0.3137108792846498,NaN,NaN
278,COMMEZZADURA,2022,0.6666666666666666,0.18590308370044054,NaN,NaN
279,COMMEZZADURA,2023,0.6712328767123288,0.20051635111876076,NaN,NaN
280,CONTÀ,2019,0.75,0.35502958579881655,NaN,NaN
